Freq.	V(vo)/V(Vi)
1.25025903021771e+002	(-4.20620977320618e+001dB,-9.04623042434194e+001°)
1.25314117494141e+002	(-4.20420816041698e+001dB,-9.04633229808797e+001°)
1.25602996369487e+002	(-4.20220654020356e+001dB,-9.04643441827861e+001°)
1.25892541179416e+002	(-4.20020491250066e+001dB,-9.04653678546285e+001°)
1.26182753459066e+002	(-4.19820327727374e+001dB,-9.04663940018863e+001°)
1.26473634747114e+002	(-4.19620163449579e+001dB,-9.04674226300522e+001°)
1.26765186585784e+002	(-4.19419998415509e+001dB,-9.04684537446298e+001°)
1.27057410520853e+002	(-4.19219832617801e+001dB,-9.04694873511540e+001°)
1.27350308101665e+002	(-4.19019666054480e+001dB,-9.04705234551610e+001°)
1.27643880881134e+002	(-4.18819498722009e+001dB,-9.04715620621997e+001°)
1.27938130415752e+002	(-4.18619330615293e+001dB,-9.04726031778424e+001°)
1.28233058265601e+002	(-4.18419161734620e+001dB,-9.04736468076483e+001°)
1.28528665994361e+002	(-4.18218992072548e+001dB,-9.04746929572261e+001°)
1.28824955169313e+002	(-4.18018821628560e+001dB,-9.04757416321700e+001°)
1.29121927361353e+002	(-4.17818650396723e+001dB,-9.04767928381080e+001°)
1.29419584144998e+002	(-4.17618478374946e+001dB,-9.04778465806688e+001°)
1.29717927098395e+002	(-4.17418305557260e+001dB,-9.04789028655086e+001°)
1.30016957803328e+002	(-4.17218131943085e+001dB,-9.04799616982750e+001°)
1.30316677845229e+002	(-4.17017957525646e+001dB,-9.04810230846583e+001°)
1.30617088813183e+002	(-4.16817782304328e+001dB,-9.04820870303338e+001°)
1.30918192299940e+002	(-4.16617606271553e+001dB,-9.04831535410216e+001°)
1.31219989901920e+002	(-4.16417429428212e+001dB,-9.04842226224136e+001°)
1.31522483219223e+002	(-4.16217251767464e+001dB,-9.04852942802613e+001°)
1.31825673855640e+002	(-4.16017073286310e+001dB,-9.04863685203023e+001°)
1.32129563418657e+002	(-4.15816893980960e+001dB,-9.04874453482965e+001°)
1.32434153519466e+002	(-4.15616713847607e+001dB,-9.04885247700210e+001°)
1.32739445772973e+002	(-4.15416532881654e+001dB,-9.04896067912657e+001°)
1.33045441797808e+002	(-4.15216351082346e+001dB,-9.04906914178122e+001°)
1.33352143216332e+002	(-4.15016168441966e+001dB,-9.04917786555021e+001°)
1.33659551654643e+002	(-4.14815984956635e+001dB,-9.04928685101674e+001°)
1.33967668742593e+002	(-4.14615800626315e+001dB,-9.04939609876276e+001°)
1.34276496113786e+002	(-4.14415615444006e+001dB,-9.04950560937617e+001°)
1.34586035405594e+002	(-4.14215429406548e+001dB,-9.04961538344350e+001°)
1.34896288259165e+002	(-4.14015242509991e+001dB,-9.04972542155422e+001°)
1.35207256319427e+002	(-4.13815054750367e+001dB,-9.04983572429818e+001°)
1.35518941235103e+002	(-4.13614866125232e+001dB,-9.04994629226633e+001°)
1.35831344658715e+002	(-4.13414676626723e+001dB,-9.05005712605389e+001°)
