freq,vin,vout
100,2.88,2.88
500,2.88,2.88
1000,2.88,2.88
2000,2.96,2.83
2400,2.96,2.83
2800,2.96,2.51
3000,2.96,2
3200,2.96,1.4
3400,2.96,0.86
3600,2.96,0.52
3800,2.96,0.34
4000,2.96,0.28
4500,2.96,0.28
5000,2.96,0.28
5500,2.96,0.28
6000,2.96,0.28
6400,2.96,0.3
6800,2.96,0.34
7000,2.96,0.4
7200,2.96,0.7
7400,2.96,1.05
7600,2.96,1.44
7800,2.96,1.74
8000,2.96,1.95
9000,2.96,1.86
10000,2.96,1.72
13000,2.96,1.3
16000,2.96,1
