freq,vin,vout
100,2.92,2.92
200,2.96,2.92
500,2.92,2.92
700,2.96,2.96
900,2.96,2.96
1000,2.96,2.92
1100,2.96,2.92
1200,2.96,2.83
1300,2.96,2.72
1400,2.96,2.4
1500,2.96,2
1600,2.96,1.6
1700,2.96,1.2
1800,2.96,0.8
1900,2.96,0.56
2000,2.96,0.4
2100,2.96,0.34
2500,2.96,0.34
5000,2.96,0.26
10000,2.96,0.18
