Freq.	V(vo)
1.15611224219209e+02	(-2.49892911028708e-04dB,-7.04862890092248e+00°)
1.15877735615512e+02	(-2.49843995897736e-04dB,-7.06489839528652e+00°)
1.16144861384034e+02	(-2.49794886375212e-04dB,-7.08120553923813e+00°)
1.16412602941049e+02	(-2.49745581994390e-04dB,-7.09755042058034e+00°)
1.16680961706096e+02	(-2.49696082294313e-04dB,-7.11393312732567e+00°)
1.16949939101987e+02	(-2.49646386818843e-04dB,-7.13035374769678e+00°)
1.17219536554813e+02	(-2.49596495113773e-04dB,-7.14681237012687e+00°)
1.17489755493952e+02	(-2.49546406732610e-04dB,-7.16330908326028e+00°)
1.17760597352080e+02	(-2.49496121215359e-04dB,-7.17984397595308e+00°)
1.18032063565172e+02	(-2.49445638139637e-04dB,-7.19641713727353e+00°)
1.18304155572516e+02	(-2.49394957057022e-04dB,-7.21302865650263e+00°)
1.18576874816716e+02	(-2.49344077541271e-04dB,-7.22967862313471e+00°)
1.18850222743701e+02	(-2.49292999155537e-04dB,-7.24636712687795e+00°)
1.19124200802737e+02	(-2.49241721486114e-04dB,-7.26309425765491e+00°)
1.19398810446427e+02	(-2.49190244107724e-04dB,-7.27986010560312e+00°)
1.19674053130724e+02	(-2.49138566613415e-04dB,-7.29666476107557e+00°)
1.19949930314937e+02	(-2.49086688590444e-04dB,-7.31350831464132e+00°)
1.20226443461741e+02	(-2.49034609640538e-04dB,-7.33039085708603e+00°)
1.20503594037179e+02	(-2.48982329367349e-04dB,-7.34731247941252e+00°)
1.20781383510677e+02	(-2.48929847370675e-04dB,-7.36427327284127e+00°)
1.21059813355048e+02	(-2.48877163266705e-04dB,-7.38127332881109e+00°)
1.21338885046497e+02	(-2.48824276685131e-04dB,-7.39831273897962e+00°)
1.21618600064636e+02	(-2.48771187238285e-04dB,-7.41539159522385e+00°)
1.21898959892486e+02	(-2.48717894561645e-04dB,-7.43250998964075e+00°)
1.22179966016487e+02	(-2.48664398297440e-04dB,-7.44966801454780e+00°)
1.22461619926504e+02	(-2.48610698088861e-04dB,-7.46686576248358e+00°)
1.22743923115840e+02	(-2.48556793576209e-04dB,-7.48410332620831e+00°)
1.23026877081238e+02	(-2.48502684426783e-04dB,-7.50138079870445e+00°)
1.23310483322890e+02	(-2.48448370302100e-04dB,-7.51869827317725e+00°)
1.23594743344450e+02	(-2.48393850865603e-04dB,-7.53605584305533e+00°)
1.23879658653036e+02	(-2.48339125801953e-04dB,-7.55345360199129e+00°)
1.24165230759240e+02	(-2.48284194792915e-04dB,-7.57089164386219e+00°)
1.24451461177138e+02	(-2.48229057531829e-04dB,-7.58837006277026e+00°)
1.24738351424294e+02	(-2.48173713716856e-04dB,-7.60588895304338e+00°)
1.25025903021771e+02	(-2.48118163049049e-04dB,-7.62344840923569e+00°)
1.25314117494141e+02	(-2.48062405249714e-04dB,-7.64104852612823e+00°)
1.25602996369487e+02	(-2.48006440047872e-04dB,-7.65868939872944e+00°)
1.25892541179416e+02	(-2.47950267158076e-04dB,-7.67637112227581e+00°)
1.26182753459066e+02	(-2.47893886330564e-04dB,-7.69409379223239e+00°)
1.26473634747114e+02	(-2.47837297304963e-04dB,-7.71185750429353e+00°)
1.26765186585784e+02	(-2.47780499843082e-04dB,-7.72966235438330e+00°)
1.27057410520853e+02	(-2.47723493705765e-04dB,-7.74750843865625e+00°)
1.27350308101665e+02	(-2.47666278671214e-04dB,-7.76539585349785e+00°)
1.27643880881134e+02	(-2.47608854517632e-04dB,-7.78332469552520e+00°)
1.27938130415752e+02	(-2.47551221037687e-04dB,-7.80129506158761e+00°)
1.28233058265601e+02	(-2.47493378039475e-04dB,-7.81930704876716e+00°)
1.28528665994361e+02	(-2.47435325324345e-04dB,-7.83736075437936e+00°)
1.28824955169313e+02	(-2.47377062716788e-04dB,-7.85545627597372e+00°)
1.29121927361353e+02	(-2.47318590052868e-04dB,-7.87359371133435e+00°)
1.29419584144998e+02	(-2.47259907161897e-04dB,-7.89177315848063e+00°)
1.29717927098395e+02	(-2.47201013911765e-04dB,-7.90999471566774e+00°)
1.30016957803328e+02	(-2.47141910156857e-04dB,-7.92825848138737e+00°)
1.30316677845229e+02	(-2.47082595768918e-04dB,-7.94656455436823e+00°)
1.30617088813183e+02	(-2.47023070635124e-04dB,-7.96491303357676e+00°)
1.30918192299940e+02	(-2.46963334650364e-04dB,-7.98330401821767e+00°)
1.31219989901920e+02	(-2.46903387723993e-04dB,-8.00173760773467e+00°)
1.31522483219223e+02	(-2.46843229775009e-04dB,-8.02021390181097e+00°)
1.31825673855640e+02	(-2.46782860730126e-04dB,-8.03873300036997e+00°)
1.32129563418657e+02	(-2.46722280540167e-04dB,-8.05729500357594e+00°)
1.32434153519466e+02	(-2.46661489153060e-04dB,-8.07590001183452e+00°)
1.32739445772973e+02	(-2.46600486540844e-04dB,-8.09454812579346e+00°)
1.33045441797808e+02	(-2.46539272689058e-04dB,-8.11323944634320e+00°)
1.33352143216332e+02	(-2.46477847583241e-04dB,-8.13197407461758e+00°)
1.33659551654643e+02	(-2.46416211239791e-04dB,-8.15075211199434e+00°)
1.33967668742593e+02	(-2.46354363674143e-04dB,-8.16957366009592e+00°)
1.34276496113786e+02	(-2.46292304927768e-04dB,-8.18843882078997e+00°)
1.34586035405594e+02	(-2.46230035044067e-04dB,-8.20734769619008e+00°)
1.34896288259165e+02	(-2.46167554086692e-04dB,-8.22630038865640e+00°)
1.35207256319427e+02	(-2.46104862142439e-04dB,-8.24529700079627e+00°)
1.35518941235103e+02	(-2.46041959298105e-04dB,-8.26433763546486e+00°)
1.35831344658715e+02	(-2.45978845659774e-04dB,-8.28342239576591e+00°)
1.36144468246594e+02	(-2.45915521354745e-04dB,-8.30255138505230e+00°)
1.36458313658892e+02	(-2.45851986527675e-04dB,-8.32172470692668e+00°)
1.36772882559584e+02	(-2.45788241325151e-04dB,-8.34094246524226e+00°)
1.37088176616484e+02	(-2.45724285932335e-04dB,-8.36020476410331e+00°)
1.37404197501251e+02	(-2.45660120524742e-04dB,-8.37951170786598e+00°)
1.37720946889394e+02	(-2.45595745311644e-04dB,-8.39886340113881e+00°)
1.38038426460288e+02	(-2.45531160525453e-04dB,-8.41825994878352e+00°)
1.38356637897177e+02	(-2.45466366388941e-04dB,-8.43770145591566e+00°)
1.38675582887188e+02	(-2.45401363175025e-04dB,-8.45718802790520e+00°)
1.38995263121334e+02	(-2.45336151154692e-04dB,-8.47671977037728e+00°)
1.39315680294529e+02	(-2.45270730624006e-04dB,-8.49629678921289e+00°)
1.39636836105593e+02	(-2.45205101895420e-04dB,-8.51591919054951e+00°)
1.39958732257261e+02	(-2.45139265304536e-04dB,-8.53558708078179e+00°)
1.40281370456195e+02	(-2.45073221200455e-04dB,-8.55530056656229e+00°)
1.40604752412990e+02	(-2.45006969957350e-04dB,-8.57505975480207e+00°)
1.40928879842186e+02	(-2.44940511962898e-04dB,-8.59486475267147e+00°)
1.41253754462274e+02	(-2.44873847632739e-04dB,-8.61471566760078e+00°)
